email,company,domain,source,search_query,email_type,discovered_at,verified,last_used
Microsoft,mscollege@microsoft.com,smart_discovery,Senior Data Analyst,2026-01-01 11:02:41,,,,
Microsoft,careers@microsoft.com,smart_discovery,Senior Data Analyst,2026-01-01 11:02:41,,,,
Amazon,university-recruiting@amazon.com,smart_discovery,Business Intelligence Analyst,2026-01-01 11:02:42,,,,
Amazon,recruiting@amazon.com,smart_discovery,Business Intelligence Analyst,2026-01-01 11:02:42,,,,
Google,university-relations@google.com,smart_discovery,Data Scientist,2026-01-01 11:02:42,,,,
Google,students@google.com,smart_discovery,Data Scientist,2026-01-01 11:02:42,,,,
Infosys,careers@infosys.com,smart_discovery,Python Developer,2026-01-01 11:02:43,,,,
Infosys,campus@infosys.com,smart_discovery,Python Developer,2026-01-01 11:02:43,,,,
TCS,careers@tcs.com,smart_discovery,Data Engineer,2026-01-01 11:02:43,,,,
TCS,campus.relations@tcs.com,smart_discovery,Data Engineer,2026-01-01 11:02:43,,,,
Wipro,careers@wipro.com,smart_discovery,Business Analyst,2026-01-01 11:02:44,,,,
Wipro,campus@wipro.com,smart_discovery,Business Analyst,2026-01-01 11:02:44,,,,
Accenture,careers@accenture.com,smart_discovery,Technical Support Engineer,2026-01-01 11:02:44,,,,
Accenture,campus.connect@accenture.com,smart_discovery,Technical Support Engineer,2026-01-01 11:02:44,,,,
Capgemini,careers@capgemini.com,smart_discovery,Systems Analyst,2026-01-01 11:02:45,,,,
Capgemini,campus@capgemini.com,smart_discovery,Systems Analyst,2026-01-01 11:02:45,,,,
IBM,hr@ibm.com,smart_discovery,BI Developer,2026-01-01 11:02:45,,,,
IBM,careers@ibm.com,smart_discovery,BI Developer,2026-01-01 11:02:45,,,,
IBM,talent@ibm.com,smart_discovery,BI Developer,2026-01-01 11:02:45,,,,
Oracle,hr@oracle.com,smart_discovery,Analytics Engineer,2026-01-01 11:02:46,,,,
Oracle,careers@oracle.com,smart_discovery,Analytics Engineer,2026-01-01 11:02:46,,,,
Oracle,talent@oracle.com,smart_discovery,Analytics Engineer,2026-01-01 11:02:46,,,,
Cognizant,careers@cognizant.com,smart_discovery,Data Operations Analyst,2026-01-01 11:02:46,,,,
Cognizant,campus@cognizant.com,smart_discovery,Data Operations Analyst,2026-01-01 11:02:46,,,,
